1	0,75352		0,663388	0,50563
2	0,77606		0,65211		0,50563
3	0,87746		0,76479		0,50563
4	0,65211		0,77606		0,50563
5	0,67465		0,67465		0,50563
6	0,68592		0,85493		0,50563
7	0,78732		0,69155		0,50563
8	0,85493		0,78169		0,50563
9	0,78169		0,80423		0,50563
10	0,69155		0,67465		0,50563
11	0,78732		0,70282		0,50563
12	0,9		0,71408		0,50563
13	0,79408		0,81549		0,50563
14	0,74789		0,69155		0,61831
15	0,70282		0,78169		0,61831
16	0,33662		0,41549		0,61831
17	0,22394		0,42676		0,61831
18	0,24648		0,23521		0,61831
19	0,24085		0,24085		0,61831
20	0,11127		0,40423		0,61831
21	0,1		0,19577		0,61831
22	0,22958		0,26901		0,61831
23	0,19577		0,25211		0,61831
24	0,15634		0,19577		0,61831
25	0,1507		0,13944		0,61831
26	0,25211		0,26338		0,61831
27	0,15634		0,1338		0,61831
28	0,13944		0,12817		0,61831
29	0,20704		0,40986		0,61831
30	0,13944		0,26338		0,61831
31	0,64085		0,28028		0,73099
32	0,77606		0,25775		0,73099
33	0,65211		0,1338		0,73099
34	0,56197		0,1338		0,73099
35	0,67465		0,24648		0,73099
36	0,66338		0,25211		0,73099
37	0,78732		0,26901		0,73099
38	0,68592		0,15634		0,73099
39	0,77606		0,22394		0,73099
40	0,65211		0,23521		0,73099
41	0,55634		0,03239		0,73099
42	0,65775		0,1338		0,73099
43	0,53268		0,03239		0,73099
44	0,55634		0,15634		0,73099
45	0,66901		0,14282		0,73099
	
